posted_at_jst,date_jst,time_jst,weekday,category,impressions,likes,like_rate,char_count,line_count,first_line,content
2025-10-01T09:00:00.000Z,2025-10-01,09:00,(水),アルゴリズム/仕様,23000,76,0.0033,792,13,"信じられない…10月に入りインスタアルゴリズム完全に調整突然入ってますね。今日はインスタ完全終了のお知らせです。いきなりリーチ落ちてません？？この度、絶対にインスタが伸びない行動5選が決定しました。新機能の追加の影響もありかなり変わってます…1つでも当てはまっているとアカウントのリーチ数がガクッと下がるのでアカウント確実に終わり全てやり直しです。5つあるのですが、","信じられない…10月に入りインスタアルゴリズム完全に調整突然入ってますね。今日はインスタ完全終了のお知らせです。いきなりリーチ落ちてません？？この度、絶対にインスタが伸びない行動5選が決定しました。新機能の追加の影響もありかなり変わってます…1つでも当てはまっているとアカウントのリーチ数がガクッと下がるのでアカウント確実に終わり全てやり直しです。5つあるのですが、\n①オーディエンス設定ミスでリーチしない
\nこれ4個目で細かく言いますが基本です。知らない時点でやばい。今のインスタの恩恵をみすみす捨ててる。そりゃ伸びない。
\n②コメント誘導
\n9月下旬からリーチしなくなり、その後通常のリールに戻してもリーチせずでオワコンアカウント確定してます。
\n③リアルタイムリサーチ未実施
\nこれは以前解説しましたね！やった人いきなり40万再生でてます。(美容健康系)固定の資料もアップデートして資料200枚で完全解説もしてるのでもう常識かなと。割愛します。知らない時点で情報感度低いので伸びません。
\n④各種投稿設定
\nハッシュタグオフ、リールグリッドとプロフィールグリッド両方表示、その他媒体への共同投稿オフ、Facebookのおすすめはオンが今の必須設定です。とくにオーディエンス設定をちゃんとやってない人伸びるわけない。
\n⑤模倣認定食らう
\nリアルタイムリサーチから参考にしてるだけでは模倣になりがちで今AIに一撃で探知されてリーチ抑制されます。AI使って投稿内容考えてる人も軒並み同じ理由でいかれてます。
\nすべて無償配布してるリール完全マニュアルで操作方法等解説してます \nhttps://www.threads.com/@mon_guchi/post/DPPovxgkyM_?xmt=AQF0cVbScEe8AUnxFeTr5M7fX2mC6RNGsVgt5Knl3PHIJw"
2025-10-01T09:00:00.000Z,2025-10-01,09:00,(水),リール/動画,2986,8,0.0027,343,9,"おもしろい意見ですね。今圧倒的に全盛期でリード獲得数異常値です。過去最高との認識があった。","おもしろい意見ですね。今圧倒的に全盛期でリード獲得数異常値です。過去最高との認識があった。 \nリールが下火。
\nと、発言してしまう人は再生数でしか見てないってのはあるあるですね！ターゲティング精度爆あがり中なのでリード集客面では全SNSの中で最強とすら思える \nしょーこ
\n皆さんの感触どないすか？\nあら、投稿主にブロックされた
\n何でだろう、意見交換したかっただけなのに！\nアカウント消したとかじゃないよね💦さすがにそれは💦皆さんからは見えてますか？💦そんな言い過ぎたのかな… \nhttps://www.threads.com/@mon_guchi/post/DPQuZ-jiZcm?xmt=AQF037t3ViLqoKn1QsfAwpu2uxONRzbs4zkHIy4Sk59oPw"
2025-10-01T09:00:00.000Z,2025-10-01,09:00,(水),問いかけ型,3918,20,0.0051,533,5,"thread教えてます！って言う個人または業者ってこれくらいはさすがに分析してますよね？？してないとやばいですけど大丈夫ですか？？","thread教えてます！って言う個人または業者ってこれくらいはさすがに分析してますよね？？してないとやばいですけど大丈夫ですか？？
\nこの分析ツールは正式リリースなどしておらず、内々でテスト的に使っている段階ではあるのですが公式だけではデイリーのフォロワー数が1万人を超えると追えなくなりますw(さすがに治せ)
\n＋αでリードの獲得数も追ってますが、ThreadsにいるThreadsの先生たちそれやってる？どんなテーマ選びでどんなライティングをすれば効果があるか言語化できる？？さすがにできないとマズいです。ただ『インプ伸びましたー！フォロワー増えましたー！』だけでは無と同意義です。さすがに無にお金払ったりお金もらったりしてる人いないと信じたい、、弊社がコンテンツ化もせず一応解説はしてますが訴求で強く推してないのはまだ分析に粗があるからなんですよね。\nhttps://www.threads.com/@kudooo_ai/post/DPQasQEid-X\nhttps://www.threads.com/@mon_guchi/post/DPQuduMiR8s?xmt=AQF037t3ViLqoKn1QsfAwpu2uxONRzbs4zkHIy4Sk59oPw"
2025-10-02T09:00:00.000Z,2025-10-02,09:00,(木),アルゴリズム/仕様,190000,206,0.0011,1188,16,"インスタ先日また新ルールでました。ハッシュタグつけてるアカウント終わります。公式の発表はご確認されましたでしょうか？突然大幅変更がおきてまして対応してない人次々とアカウント終わってまして、","インスタ先日また新ルールでました。ハッシュタグつけてるアカウント終わります。公式の発表はご確認されましたでしょうか？突然大幅変更がおきてまして対応してない人次々とアカウント終わってまして、\nインスタのユーザー数は爆発的に増えていてその要因はリールとそのレコメンド機能。今後はリールとDM機能を中心に考えて再構築していくとのこと。さらにフォローの重要度が下がっているとも。理由はレコメンド機能の精度が圧倒的に高いから。
\nここまでは固定ポスト読んでる人はもう常識かと思いますが、1点修正がありまして、それがハッシュタグ。
\nかつては流入狙いで30個つけたり、最近ではレコメンドに載るためのジャンル設定で3-5個つけてる人がいましたが今は全く意味のないものになっているとのことです。
\n実際にハッシュタグ消してからリーチ数倍になりました。まじでこれだけで変わることあります。ただ注意点がありまして\nこのハッシュタグの話はシンプルなのですが、抽象度を少し上げると『フォローの価値』が下がっています。
\nえ？どゆこと？笑
\nって感じだと思いますがここ理解してると
\n10倍くらい楽に運用できます。悩まなくなる。
\nこれはCEOも先日お伝えしてましたね？レコメンド機能を掌握する。そしてそれはリーチ数を爆伸びさせるためではなく適材適所にリーチをさせるために行うってのがポイントです。
\nつまるところ、運用初期段階から一貫した投稿の積み上げ、その全てがリサーチを軸に内容決定、安定的な更新頻度。これらを積み上げることでリールは資産要素が強くはなっていき常時集客に非常に向いている。
\nこれが今のポイントになります。まとめると、やるべきことは超簡単です。正しいリサーチと正しいリール投稿の積み上げです。悩む要素がついにゼロになったのでぶち上げていきましょう！やり方は固定で完璧にすべて解説しています。\nあ、重要なこと書くの忘れてた。あとで追記します！\n遅くなりました。
\nハッシュタグを外せばいきなり伸びる！！ってアカウントはおそらく50%いかないくらいなのですが、そもそものアカウントに蓄積されたデータベースによりレコメンドの扱いは決まります。たとえば数万フォロワーいても1万回も再生数回らないアカウントとかたまにありますが完全にズレてますので抜本的な改革が必要になります。でも変にプライド持っちゃって学ぶことから逃げがち。つまるところ、素直な人やこれから伸ばしていく！という段階にいる人はばりチャンスです！これは歴史をみれば構造的に変革のときは下克上のチャンス。僕も頑張ります😂 \nhttps://www.threads.com/@mon_guchi/post/DPSOIuKk40n?xmt=AQF037t3ViLqoKn1QsfAwpu2uxONRzbs4zkHIy4Sk59oPw"
2025-10-03T09:00:00.000Z,2025-10-03,09:00,(金),アルゴリズム/仕様,100000,242,0.0024,1080,23,"インスタ新NGルールでました。リールの再生回数は設定や規約や特徴です。やれば絶対再生数が落ちるNG行動。ここ1週間でいきなり落ちた人は必ずどれかに該当するので辞めれば伸びます。変更すれば即改善します。10個ありまして、","インスタ新NGルールでました。リールの再生回数は設定や規約や特徴です。やれば絶対再生数が落ちるNG行動。ここ1週間でいきなり落ちた人は必ずどれかに該当するので辞めれば伸びます。変更すれば即改善します。10個ありまして、 \nインスタCEOの先日のリールで、インスタはここから再構築すると明言されてました。それに伴い以下確認してこれから全面的に押し出すであろうレコメンドを掌握してください。
\n1アクティブクリエイター未設定
\n2ジャンル認知未設定 あれだして
\n3リアルタイムリサーチ未実施
\nえ、さすがにこれ知らないとかないよな？
\n4冒頭フック模倣まみれでリーチ抑制
\n5内容も模倣まみれでリーチ抑制
\n6Thread共同投稿設定デフォルトのまま
\n7ハッシュタグ今さらつけてる
\n8投稿時間を固定していない
\n9過去に一度でもコメント誘導した
\n10数々の運用の基本を難しいという幼稚な理由で見て見ぬふりしてる
\n11門口の固定ポストみてない
\nばり集客できるのうになります。いやいやそんなんあなただけでしょ？って思った人に聞いてほしいのですが、 \nかつてはフォロワー数至上主義だったが今は違うとインスタのCEOも名言してるのに未だにリーチ数とフォロワー数だけ主軸に考えてるの『誰かが作ったトレンドに二番煎じで乗り続ける』か『イチかバチかで奇抜コンセプト作る』しかなくなる。
\n集客、収益の安定性を前提としたときに明らかに最適解ではない。そこで抑えておいてほしいのが。
\nリアルタイムリサーチの1年継続です。意外と本質は変わらない。僕の場合はフックだけ調整して内容はずっと同じ。2年間変わってない。印象を変えてるだけ。
\n伸び悩んだらコアの部分から変える人いるが愚策でして、成約を生む発信を把握してないだけ。そしてこの原因はデータ分析を怠り感覚でやってるから。全盛期の起業家(笑)みたいな人が下火になってる理由はこれ。3年間くらい言い続けていたのに残念です。
\nそして全てにおいての諸悪の根源は『プライド』です。素直にやらない。でも学ぶべきだと感じ言語化とか脳科学とか意味不明なことに走り出し悟り開いた勘違いし美徳に走る。控えめに言って無念です。皆で盛り上げていきたい
\n“あれだして”は動画編集者への指示だった🤣雑な指示してるのバレる🤣
\nあ、あと\nhttps://www.threads.com/@mon_guchi/post/DPUvCYhE28N?xmt=AQF0jqadTIz47WZuerb6zMxmFLimAzoRkCGAfV8WZeQv8w"
2025-10-04T09:00:00.000Z,2025-10-04,09:00,(土),アルゴリズム/仕様,25000,73,0.0029,790,13,"【緊急】ハッシュタグつけてるアカウント次々と終わっていってますり","【緊急】ハッシュタグつけてるアカウント次々と終わっていってますり
\n今はつけない方が伸びる！
\nつけてもつけなくても変わらない！
